comname,businessScope,cominfo
芳臣美容品（北京）有限公司,销售化妆品、日用品、电子产品、办公用品、工艺品（不含文物）；经济贸易咨询；技术推广服务；承办展览展示活动；组织文化艺术交流活动（不含演出、棋牌室）；企业管理咨询；企业形象策划；市场调查。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,
贵阳春兰炫彩美发美容厅,法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可（审批）的，经审批机关批准后凭许可（审批）文件经营;法律、法规、国务院决定规定无需许可（审批）的，市场主体自主选择经营。(美容；健康信息咨询；化妆品销售。),
北京施雅尚美容有限公司,美容服务；销售化妆品；经济信息咨询。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
北京圣丹莱美容美发有限公司,美容（限非医疗美容）；理发；销售化妆品、日用品。,
北京千富美容有限公司,美容（限非医疗美容）（卫生许可证有效期至2018年05月20日）；销售化妆品、日用品。 美容（限非医疗美容）（卫生许可证有效期至2018年05月20日）(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
北京秀颜国际美容有限公司,美容；理发；销售化妆品、服装、鞋帽。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),
北京金侨美容美发有限公司,理发、美容（医疗性美容除外）；销售化妆品、日用杂品、洗涤用品。,
北京美兆健康体检中心有限公司,提供健康检查服务及相关的健康咨询服务；具体健康检诊科目包括：内科、外科、妇科、儿科、口腔科、耳鼻喉科、眼科、皮肤科、医学影像科、医学检验科。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,美兆集团成立于1988年，是全球唯一获得ISO9001国际品质认证的健康管理中心，其检验仪器及健检流程都具世界级专业水准。在“人本关怀，成长共享”的经营理念下，美兆致力推动健康管理开创的新纪元。美兆健检与英国BUPA、日本PL并列于世界三大健检机构， “北京美兆”是美兆集团在国内地区第一家旗舰店，以自动化专业健康检查业务为主，并朝向全方位健康产业的健康管理机构。 “北京美兆”以专业体检经验成为全国体检行业的标杆，是世界领先的美兆全自动化的健康体检流程软件系统为依托，建立健康管理平台，并结合了高档化的体检环境、人性化的优质服务、科学化的管理。 “北京美兆”将与集团目前下属的台北健检中心、台中健检中心、高雄健检中心、桃园健检中心、香港健检中心、吉隆坡健检中心等，以及将来预计在大陆新开辟的30家健检中心一起，引领国内健检行业迈向更高的台阶。 “北京美兆”已经吸引了诸多的国内外行业精英，现诚邀您的加盟，共同打造健检行业之旗舰，享受美兆一贯秉持的“人本关怀，成长共享”的企业经营理念。 欢迎您加入美兆大家庭，美兆将与您一同成长！
北京剪艺之爱美发设计有限公司,理发；销售化妆品、通讯设备、电子产品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,
北京港汇吉阿纪美容美发有限公司,美容美发；技术服务、技术转让、技术咨询；销售化妆品、日用品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,
北京东方水润容颜美容有限公司,美容（非医疗美容）；销售化妆品、工艺美术品；经济贸易咨询；技术推广服务。,
北京荣富祥平商贸有限公司,销售首饰、工艺品、服装、鞋帽、日用品、家用电器、五金交电、文具用品、体育用品、电子产品、通讯设备、计算机、软件及辅助设备；技术推广服务。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,
北京艾琳薇儿美容有限公司,美容（限非医疗美容）（卫生许可证有效期至2017年09月04日）；销售化妆品、服装、服饰、家庭用品、工艺美术品。(领取本执照后，应到市美容美发协会备案。；企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),
